Date,BEYLA,BO,BOFFA,BOKE,BOMBALI,BOMI,BONG,BONTHE,CONAKRY,COYAH,DABOLA,DALABA,DINGUIRAYE,DUBREKA,FARANAH,FORECARIAH,FRIA,GBAPOLU,GRANDBASSA,GRANDCAPEMOUNT,GRANDGEDEH,GRANDKRU,GUECKEDOU,KAILAHUN,KAMBIA,KANKAN,KENEMA,KEROUANE,KINDIA,KISSIDOUGOU,KOINADUGU,KONO,KOUROUSSA,LOFA,LOLA,MACENTA,MALI,MARGIBI,MARYLAND,MONTSERRADO,MOYAMBA,NZEREKORE,NIMBA,PITA,PORTLOKO,PUJEHUN,RIVERCESS,RIVERGEE,SIGUIRI,SINOE,TELIMELE,TONKOLILI,TOUGUE,WESTERN,YAMOU
2015-03-03,0,0,0,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,11,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,0,0,0,0,30,0
2015-03-04,0,0,1,0,2,0,0,0,2,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,1,0,28,0
2015-03-05,0,1,0,0,3,0,0,0,4,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,2,0,5,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,11,0,0,0,0,0,0,0,39,0
2015-03-06,0,1,0,0,2,0,0,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,29,0
2015-03-07,0,0,1,0,0,0,0,0,5,2,0,0,0,1,0,11,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,23,0
2015-03-08,0,1,1,0,1,0,0,0,3,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,22,0
2015-03-09,0,1,0,0,1,0,0,0,4,7,0,0,0,0,0,5,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,23,0
2015-03-10,0,0,0,0,2,0,0,0,3,3,0,0,0,0,0,5,0,0,0,0,0,0,0,1,3,0,4,0,0,0,0,12,0,0,0,0,0,0,0,0,1,0,0,0,4,7,0,0,0,0,0,1,0,27,0
2015-03-11,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,14,0,0,0,0,0,0,0,0,3,0,0,0,3,6,0,0,0,0,0,2,0,15,0
2015-03-12,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,3,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,1,0,0,0,0,6,0
