Country,CL_DistrictRes,Date,incid
Sierra Leone,KAMBIA,2014-10-21,0
Sierra Leone,KAMBIA,2014-10-22,0
Sierra Leone,KAMBIA,2014-10-23,2
Sierra Leone,KAMBIA,2014-10-24,1
Sierra Leone,KAMBIA,2014-10-25,3
Sierra Leone,KAMBIA,2014-10-26,2
Sierra Leone,KAMBIA,2014-10-27,0
Sierra Leone,KAMBIA,2014-10-28,2
Sierra Leone,KAMBIA,2014-10-29,1
Sierra Leone,KAMBIA,2014-10-30,3
Sierra Leone,KAMBIA,2014-10-31,1
Sierra Leone,KAMBIA,2014-11-01,4
Sierra Leone,KAMBIA,2014-11-02,1
Sierra Leone,KAMBIA,2014-11-03,1
Sierra Leone,KAMBIA,2014-11-04,0
Sierra Leone,KAMBIA,2014-11-05,1
Sierra Leone,KAMBIA,2014-11-06,0
Sierra Leone,KAMBIA,2014-11-07,1
Sierra Leone,KAMBIA,2014-11-08,0
Sierra Leone,KAMBIA,2014-11-09,3
Sierra Leone,KAMBIA,2014-11-10,2
Sierra Leone,KAMBIA,2014-11-11,5
Sierra Leone,KAMBIA,2014-11-12,3
Sierra Leone,KAMBIA,2014-11-13,1
Sierra Leone,KAMBIA,2014-11-14,4
Sierra Leone,KAMBIA,2014-11-15,2
Sierra Leone,KAMBIA,2014-11-16,0
Sierra Leone,KAMBIA,2014-11-17,2
Sierra Leone,KAMBIA,2014-11-18,5
Sierra Leone,KAMBIA,2014-11-19,5
Sierra Leone,KAMBIA,2014-11-20,2
Sierra Leone,KAMBIA,2014-11-21,2
Sierra Leone,KAMBIA,2014-11-22,2
Sierra Leone,KAMBIA,2014-11-23,1
Sierra Leone,KAMBIA,2014-11-24,1
Sierra Leone,KAMBIA,2014-11-25,1
Sierra Leone,KAMBIA,2014-11-26,3
Sierra Leone,KAMBIA,2014-11-27,2
Sierra Leone,KAMBIA,2014-11-28,1
Sierra Leone,KAMBIA,2014-11-29,1
Sierra Leone,KAMBIA,2014-11-30,5
Sierra Leone,KAMBIA,2014-12-01,0
Sierra Leone,KAMBIA,2014-12-02,2
Sierra Leone,KAMBIA,2014-12-03,1
Sierra Leone,KAMBIA,2014-12-04,1
Sierra Leone,KAMBIA,2014-12-05,3
Sierra Leone,KAMBIA,2014-12-06,2
Sierra Leone,KAMBIA,2014-12-07,3
Sierra Leone,KAMBIA,2014-12-08,1
Sierra Leone,KAMBIA,2014-12-09,1
Sierra Leone,KAMBIA,2014-12-10,2
