NodeName,City,StateCode,CountryCode,Lon,Lat
DOP,Dolpa,NULL,NP,82.82,29
DOU,Dourados,MS,BR,-54.93,-22.2
DPL,Dipolog,NULL,PH,123.34,8.6
DPO,Devonport,TAS,AU,146.43,-41.17
DPS,Denpasar Bali,NULL,ID,115.16,-8.74
DQA,Daqing,NULL,CN,125.23,46.59
DRG,Deering,AK,US,-162.73,66.08
DRK,Drake Bay,NULL,CR,-83.65,8.73
DRO,Durango,CO,US,-107.75,37.16
DRS,Dresden,NULL,DE,13.77,51.12
DRT,Del Rio,TX,US,-100.98,29.33
DRW,Darwin,NT,AU,130.88,-12.41
DSA,Doncaster,EN,GB,-1.01,53.48
DSK,Dera Ismail Khan,NULL,PK,70.9,31.92
DSM,Des Moines,IA,US,-93.65,41.53
DSN,Dongsheng,NULL,CN,110.03,39.85
DTI,Diamantina ,NULL,BR,-43.65,-18.23
DTM,Dortmund,NULL,DE,7.61,51.51
DTW,Detroit,MI,US,-83.36,42.21
DUB,Dublin,NULL,IE,-6.24,53.43
DUD,Dunedin,NULL,NZ,170.2,-45.92
DUJ,Dubois,PA,US,-78.9,41.18
DUM,Dumai,NULL,ID,101.47,1.58
DUR,Durban,NULL,ZA,31.12,-29.61
DUS,Dusseldorf,NULL,DE,6.77,51.28
DUT,Dutch Harbor,AK,US,-166.54,53.89
DVL,Devils Lake,ND,US,-98.91,48.11
DVO,Davao,NULL,PH,125.64,7.13
DWD,Dawadmi,NULL,SA,44.13,24.45
DXB,Dubai,NULL,AE,55.35,25.25
DYG,Dayong,NULL,CN,110.45,29.11
DYR,Anadyr,NULL,RU,177.75,64.73
DYU,Dushanbe,NULL,TJ,68.82,38.55
DZA,Dzaoudzi,NULL,YT,45.28,-12.8
DZN,Zhezkazgan,NULL,KZ,67.73,47.7
EAA,Eagle,AK,US,-141.15,64.78
EAE,Emae,NULL,VU,168.42,-17.17
EAM,Nejran,NULL,SA,44.41,17.61
EAR,Kearney,NE,US,-99,40.73
EAS,San Sebastian,SP,ES,-1.79,43.36
EAT,Wenatchee,WA,US,-120.21,47.4
EAU,Eau Claire,WI,US,-91.49,44.86
EBA,Elba Island,NULL,IT,10.28,42.77
EBB,Entebbe,NULL,UG,32.44,0.05
EBD,El Obeid,NULL,SD,30.23,13.16
EBH,El Bayadh ,NULL,DZ,1,33.68
EBJ,Esbjerg,NULL,DK,8.55,55.52
EBL,Erbil,NULL,IQ,43.96,36.24
EBU,Saint Etienne,NULL,FR,4.3,45.54
ECN,Ercan,NULL,CY,33.5,35.16
ECP,Panama City,FL,US,-85.8,30.36
EDA,Edna Bay,AK,US,-133.67,55.95
EDI,Edinburgh,SC,GB,-3.36,55.95
EDL,Eldoret,NULL,KE,35.22,0.41
EDO,Edremit/Korfez,NULL,TR,27.03,39.58
EDR,Edward River,QLD,AU,141.62,-14.9
EEK,Eek,AK,US,-162.02,60.22
EFL,Kefallinia,NULL,GR,20.51,38.12
EGC,Bergerac,NULL,FR,0.48,44.85
EGE,Vail,CO,US,-106.91,39.64
EGM,Sege,NULL,SB,157.88,-8.58
EGN,Geneina,NULL,SD,22.47,13.49
EGO,Belgorod,NULL,RU,36.65,50.63
EGS,Egilsstadir,NULL,IS,-14.4,65.28
EGX,Egegik,AK,US,-157.37,58.21
EIK,Yeysk,NULL,US,38.29,46.69
EIN,Eindhoven,NULL,NL,5.39,51.46
EIS,Beef Island,NULL,VG,-64.54,18.44
EJA,Barrancabermeja,NULL,CO,-73.8,7.02
EJH,Wedjh,NULL,SA,36.47,26.21
EKO,Elko,NV,US,-115.79,40.82
EKS,Shakhtersk ,NULL,RU,142.11,49.17
ELC,Elcho Island,NT,AU,135.57,-12.02
ELD,El Dorado,AR,US,-92.81,33.22
ELF,El Fasher,NULL,SD,25.32,13.62
ELG,El Golea,NULL,DZ,2.86,30.57
ELH,North Eleuthera,NULL,BS,-76.68,25.48
ELI,Elim,AK,US,-162.27,64.61
ELM,Elmira,NY,US,-76.9,42.16
ELP,El Paso,TX,US,-106.4,31.8
ELQ,Gassim,NULL,SA,43.77,26.31
ELS,East London,NULL,ZA,27.83,-33.04
ELU,El Oued,NULL,DZ,6.78,33.52
ELV,Elfin Cove,AK,US,-136.32,58.18
ELY,Ely,NV,US,-114.84,39.3
EMA,Leicestershire,EN,GB,-1.33,52.83
EMD,Emerald,QLD,AU,148.17,-23.57
EMK,Emmonak,AK,US,-164.52,62.78
ENA,Kenai,AK,US,-151.25,60.57
ENE,Ende,NULL,ID,121.65,-8.83
ENF,Enontekio,NULL,FI,23.42,68.35
ENH,Enshi,NULL,CN,109.48,30.32
ENI,El Nido,NULL,PH,119.41,11.21
ENU,Enugu,NULL,NG,7.57,6.47
ENY,Yanan',NULL,CN,109.55,36.64
EOH,Medellin,NULL,CO,-75.59,6.22
EOI,Eday,SC,GB,-2.78,59.18
EPR,Esperance,WA,AU,121.83,-33.68
EQS,Esquel,CB,AR,-71.14,-42.91
ERC,Erzincan,NULL,TR,39.52,39.71
ERF,Erfurt,NULL,DE,10.96,50.97
ERH,Errachidia,NULL,MA,-4.4,31.95
ERI,Erie,PA,US,-80.18,42.08
ERL,Erenhot ,NULL,CN,112.1,43.43
ERM,Erechim,RS,BR,-52.28,-27.64
ERN,Eirunepe,AM,BR,-69.88,-6.58
ERS,Windhoek,NULL,NA,17.08,-22.62
ERZ,Erzurum,NULL,TR,41.17,39.96
ESB,Ankara,NULL,TR,32.99,40.11
ESC,Escanaba,MI,US,-87.09,45.72
ESL,Elista,NULL,RU,44.33,46.37
ESM,Esmeraldas,NULL,EC,-79.63,0.97
ESR,El Salvador,NULL,CL,-69.77,-26.32
ESU,Essaouira,NULL,MA,-9.7,31.53
ETH,Elat,NULL,IL,34.95,29.56
ETR,Watford ,NULL,GB,-66.15,18.37
ETZ,Metz/Nancy,NULL,FR,6.24,48.98
EUG,Eugene,OR,US,-123.21,44.12
EUN,Laayoune,NULL,MA,-13.22,27.13
EUX,Saint Eustatius,NULL,AN,-62.98,17.49
EVE,Harstad-Narvik,NULL,NO,16.68,68.5
EVG,Sveg,NULL,SE,14.35,62.03
EVN,Yerevan,NULL,AM,44.4,40.15
EVV,Evansville,IN,US,-87.53,38.05
EWB,New Bedford,MA,US,-70.96,41.68
EWD,Wildman Lake,AK,US,-159.76,56.46
EWN,New Bern,NC,US,-77.03,35.08
EWR,Newark,NJ,US,-74.18,40.69
EXI,Excursion Inlet,AK,US,-135.45,58.42
EXT,Exeter,EN,GB,-3.41,50.73
EYK,Beloyarsky ,NULL,RU,66.68,63.68
EYP,El Yopal,NULL,CO,-72.39,5.32
EYW,Key West,FL,US,-81.76,24.55
EZE,Buenos Aires,BA,AR,-58.54,-34.81
EZS,Elazig,NULL,TR,39.29,38.61
EZV,Berezovo ,NULL,UA,65.17,65.92
FAC,Faaite,NULL,PF,-145.33,-16.68
FAE,Faroe Islands,NULL,FO,-7.27,62.07
FAH,Farah,NULL,AF,62.12,32.37
FAI,Fairbanks,AK,US,-147.87,64.82
FAO,Faro,NULL,PT,-7.97,37.02
FAR,Fargo,ND,US,-96.83,46.92
FAT,Fresno,CA,US,-119.72,36.77
FAV,Fakarava,NULL,PF,-145.65,-16.05
FAY,Fayetteville,NC,US,-78.89,34.99
FBA,Fonte Boa,NULL,BR,-66.07,-2.53
FBD,Faizabad,NULL,AF,70.57,37.1
FBM,Lubumbashi,NULL,CD,27.53,-11.59
FBS,Friday Harbor,WA,US,-123.01,48.54
FCA,Kalispell,MT,US,-114.25,48.31
FCO,Rome,NULL,IT,12.25,41.79
FDE,Forde,NULL,NO,5.76,61.39
FDF,Fort De France,NULL,MQ,-61,14.6
FDH,Friedrichshafen,NULL,DE,9.52,47.67
FEG,Fergana,NULL,UZ,71.73,40.35
FEN,Fernando De Noronha,FN,BR,-32.42,-3.85
FEZ,Fez,NULL,MA,-4.98,33.93
