Location,Country,Disease,Species,HealthMap Alert ID,Headline,URL,Issue Date,Alert Tag,SC,SD,CC,CD,RO,Feed Name,Lon,Lat
"Pujehun District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,31,,,,,ReliefWeb,-11.5,7.33333
"Western Area Urban, Western Area, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,2239,,,,,ReliefWeb,-13.26617,8.45358
"Western Area Rural, Sierra Leone",Sierra Leone,Ebola,Humans,3295826,"Ebola Outbreak Updates â€“ 13 April, 2015",http://reliefweb.int/node/936666,4/13/15 0:00,Breaking,1162,,,,,ReliefWeb,-13.035694,8.311498
Sierra Leone,Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,12195,3856,,,,ReliefWeb,-11.79192,8.56028
"Kailahun, Eastern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,565,228,,,,ReliefWeb,-10.56667,8.28333
"Kenema, Eastern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,503,265,,,,ReliefWeb,-11.1875,7.87667
"Kono District, Eastern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,254,186,,,,ReliefWeb,-11,8.75
"Bombali District, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,1049,390,,,,ReliefWeb,-12.25,9.33333
"Kambia, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,210,122,,,,ReliefWeb,-12.91667,9.11667
"Koinadugu, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,108,56,,,,ReliefWeb,-11.36667,9.53333
"Port Loko, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,1444,563,,,,ReliefWeb,-12.78333,8.76667
"Tonkolili District, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,454,160,,,,ReliefWeb,-11.66667,8.66667
"Bo District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,314,114,,,,ReliefWeb,-11.666667,8
"Bonthe District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,5,5,,,,ReliefWeb,-12.5,7.5
"Moyamba District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,209,78,,,,ReliefWeb,-12.5,8
"Pujehun District, Southern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,31,16,,,,ReliefWeb,-11.5,7.33333
"Western Area Urban, Western Area, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,2237,780,,,,ReliefWeb,-13.26617,8.45358
"Western Area Rural, Sierra Leone",Sierra Leone,Ebola,Humans,3295043,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 12 April, 2015",http://reliefweb.int/node/936231,4/13/15 0:00,Breaking,1164,526,,,,ReliefWeb,-13.035694,8.311498
Sierra Leone,Sierra Leone,Ebola,Humans,3293300,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 10 April, 2015",http://reliefweb.int/node/934831,4/12/15 0:00,Breaking,12188,3854,,,,ReliefWeb,-11.79192,8.56028
"Kailahun, Eastern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3293300,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 10 April, 2015",http://reliefweb.int/node/934831,4/12/15 0:00,Breaking,565,228,,,,ReliefWeb,-10.56667,8.28333
"Kenema, Eastern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3293300,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 10 April, 2015",http://reliefweb.int/node/934831,4/12/15 0:00,Breaking,503,265,,,,ReliefWeb,-11.1875,7.87667
"Kono District, Eastern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3293300,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 10 April, 2015",http://reliefweb.int/node/934831,4/12/15 0:00,Breaking,254,186,,,,ReliefWeb,-11,8.75
"Bombali District, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3293300,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 10 April, 2015",http://reliefweb.int/node/934831,4/12/15 0:00,Breaking,1049,390,,,,ReliefWeb,-12.25,9.33333
"Kambia, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3293300,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 10 April, 2015",http://reliefweb.int/node/934831,4/12/15 0:00,Breaking,210,122,,,,ReliefWeb,-12.91667,9.11667
"Koinadugu, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3293300,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 10 April, 2015",http://reliefweb.int/node/934831,4/12/15 0:00,Breaking,108,56,,,,ReliefWeb,-11.36667,9.53333
"Port Loko, Northern Province, Sierra Leone",Sierra Leone,Ebola,Humans,3293300,"Ebola Virus Disease - Situation Report (Sit-Rep) â€“ 10 April, 2015",http://reliefweb.int/node/934831,4/12/15 0:00,Breaking,1444,563,,,,ReliefWeb,-12.78333,8.76667
