Location,Country,Region/City,Disease,Species,Feed Language,HM Alert ID,Headline,URL,Issue Date,Alert Tag,New SC,New SD,New CC,New CD,Cumulative SC,Cumulative SD,Cumulative CC,Cumulative CD,RO,Feed Name,Report Source - Primary,Secondary Report Source
Liberia,Liberia,,Ebola,Humans,,2395327,"PRO/AH/EDR> Ebola virus disease - West Africa (13): WHO, Mali susp, UNICEF",http://promedmail.org/direct.php?id=20140411.2395327,11/04/14 02:32,No Tag,,,,,20,12,5,,,ProMED Mail,"WHO Regional Office for Africa, Epidemic & Pandemic Alert and Response (EPR)",
Morocco,Morocco,,Ebola,Humans,,2396631,"PRO/AH/EDR> Ebola virus disease - West Africa (14): Morocco susp, virus stability",http://promedmail.org/direct.php?id=20140411.2396631,11/04/14 14:48,No Tag,2,,,,,,,,,ProMED Mail,Turner Radio Network,
Morocco,Morocco,,Ebola,Humans,,2399043,"PRO/AH/EDR> Ebola virus disease - West Africa (15): Morocco, Ghana, Portugal all NOT",http://promedmail.org/direct.php?id=20140412.2399043,12/04/14 05:15,No Tag,,,,,,,,,,ProMED Mail,The Moroccan Times,
Sierra Leone,Sierra Leone,,Ebola,Humans,,2400734,"PRO/AH/EDR> Ebola virus disease - West Africa (16): Sierra Leone & Mali NOT, economy",http://promedmail.org/direct.php?id=20140413.2400734,13/04/14 09:54,No Tag,,,,,,,,,,ProMED Mail,Euronews,
Liberia,Liberia,,Ebola,Humans,,2404280,"PRO/AH/EDR> Ebola virus disease - West Africa (17): Liberia, Sierra Leone, WHO, MSF, EU",http://promedmail.org/direct.php?id=20140414.2404280,14/04/14 17:11,No Tag,,,,,,,,,,ProMED Mail,Richard Nisbett,
Guinea,Guinea,,Ebola,Humans,,2404280,"PRO/AH/EDR> Ebola virus disease - West Africa (17): Liberia, Sierra Leone, WHO, MSF, EU",http://promedmail.org/direct.php?id=20140414.2404280,14/04/14 17:11,No Tag,11,,,,168,108,71,42,,ProMED Mail,WHO/AFRO,
Liberia,Liberia,,Ebola,Humans,,2407657,"PRO/AH/EDR> Ebola virus disease - West Africa (18): survivors, more cases",http://promedmail.org/direct.php?id=20140416.2407657,16/04/14 11:28,No Tag,,,,,26,13,,,,ProMED Mail,Cidrap News,
Guinea,Guinea,,Ebola,Humans,,2407657,"PRO/AH/EDR> Ebola virus disease - West Africa (18): survivors, more cases",http://promedmail.org/direct.php?id=20140416.2407657,16/04/14 11:28,No Tag,,10,,7,168,108,,,,ProMED Mail,Cidrap News,
Mali,Mali,,Ebola,Humans,,2409996,"PRO/AH/EDR> Ebola virus disease - West Africa (19): new strain, Guinea new cases, Mali NOT ",http://promedmail.org/direct.php?id=20140417.2409996,17/04/14 01:27,No Tag,,,,,,,,,,ProMED Mail,"CTV News, Canada",
Guinea,Guinea,,Ebola,Humans,,2409996,"PRO/AH/EDR> Ebola virus disease - West Africa (19): new strain, Guinea new cases, Mali NOT ",http://promedmail.org/direct.php?id=20140417.2409996,17/04/14 01:27,No Tag,11,3,10,,111,71,,,,ProMED Mail,Guinea News,
